Name,IC1,IC2,IC3,IC4,IC5,IC6,IC7,IC8,IC9,IC10
Image132,5,19,83,1,6,22,1,171,1,1
Image133,18,12,13,19,132,106,2,6,1,1
Image134,1,6,26,1,1,152,1,109,1,12
Image135,4,12,3,107,4,1,41,32,1,105
Image136,1,18,18,1,1,187,1,58,1,24
Image137,3,16,61,22,2,81,6,113,3,3
Image138,49,27,41,152,1,1,19,1,6,13
Image139,29,35,33,9,1,40,13,146,1,3
Image140,1,10,15,129,2,30,1,120,1,1
Image141,110,12,11,63,6,7,32,1,58,10
Image142,14,26,25,162,1,1,26,1,53,1
Image143,1,33,39,2,1,65,17,148,1,3
Image144,1,32,21,35,1,70,24,42,1,83
Image145,1,40,45,1,109,24,13,71,1,5
Image146,3,46,56,9,1,72,38,49,2,34
Image147,3,29,41,37,1,84,22,57,1,35
Image148,6,73,10,9,1,43,22,94,1,51
Image149,1,18,3,1,1,130,35,119,1,1
Image150,8,39,33,83,1,32,81,16,1,16
Image151,2,17,15,5,1,65,6,116,1,82
Image152,7,15,39,4,29,7,6,183,1,19
Image153,58,1,1,6,1,1,1,1,236,4
Image154,12,18,7,74,22,23,58,94,1,1
Image155,2,39,25,1,15,58,36,132,1,1
Image156,2,33,3,185,1,1,10,48,1,26
Image157,18,8,56,1,6,33,9,174,1,4
Image158,1,10,9,65,49,14,5,152,1,4
Image159,18,15,2,90,1,76,1,39,12,56
Image160,13,12,2,11,53,75,4,132,2,6
Image161,3,28,12,10,3,6,12,228,1,7
Image162,6,15,17,76,68,6,20,29,1,72
Image163,15,1,1,21,1,1,45,1,220,4
Image164,1,6,27,6,107,62,6,93,1,1
Image165,26,9,99,29,25,1,22,18,80,1
Image166,1,12,37,2,2,69,1,139,1,46
Image167,4,13,9,7,12,9,1,108,1,146
Image168,1,5,17,229,19,1,19,1,1,17
Image169,1,1,1,1,204,1,1,98,1,1
Image170,34,33,43,66,3,4,38,6,58,25
Image171,1,2,25,1,162,53,1,63,1,1
Image172,2,1,49,1,113,78,1,63,1,1
Image173,18,1,10,1,198,1,1,1,78,1
Image174,2,4,59,2,13,58,5,165,1,1
Image175,1,15,9,1,2,193,10,67,1,11
